統計期,廠牌,數量
108年 11月,YAMAHA,246
108年 12月,YAMAHA,269
109年 1月,YAMAHA,317
109年 2月,YAMAHA,386
109年 3月,YAMAHA,498
109年 4月,YAMAHA,441
109年 5月,YAMAHA,456
109年 6月,YAMAHA,554
109年 7月,YAMAHA,481
109年 8月,YAMAHA,380
109年 9月,YAMAHA,529
109年 10月,YAMAHA,420
109年 11月,YAMAHA,450
109年 12月,YAMAHA,574
110年 1月,YAMAHA,216
110年 2月,YAMAHA,224
110年 3月,YAMAHA,368
110年 4月,YAMAHA,464
110年 5月,YAMAHA,416
110年 6月,YAMAHA,227
110年 7月,YAMAHA,464
110年 8月,YAMAHA,340
110年 9月,YAMAHA,581
110年 10月,YAMAHA,381
110年 11月,YAMAHA,356
110年 12月,YAMAHA,334
111年 1月,YAMAHA,270
111年 2月,YAMAHA,69
111年 3月,YAMAHA,242
111年 4月,YAMAHA,179
111年 5月,YAMAHA,270
111年 6月,YAMAHA,287
111年 7月,YAMAHA,364
111年 8月,YAMAHA,339
111年 9月,YAMAHA,394
111年 10月,YAMAHA,275
111年 11月,YAMAHA,389
111年 12月,YAMAHA,367
112年 1月,YAMAHA,286
112年 2月,YAMAHA,357
112年 3月,YAMAHA,378
112年 4月,YAMAHA,274
112年 5月,YAMAHA,329
112年 6月,YAMAHA,370
112年 7月,YAMAHA,463
112年 8月,YAMAHA,338
