統計期,廠牌,數量
110年 1月,MVAGUSTA,745
110年 2月,MVAGUSTA,747
110年 3月,MVAGUSTA,753
110年 4月,MVAGUSTA,759
110年 5月,MVAGUSTA,758
110年 6月,MVAGUSTA,758
110年 7月,MVAGUSTA,760
110年 8月,MVAGUSTA,761
110年 9月,MVAGUSTA,764
110年 10月,MVAGUSTA,764
110年 11月,MVAGUSTA,765
110年 12月,MVAGUSTA,769
111年 1月,MVAGUSTA,769
111年 2月,MVAGUSTA,770
111年 3月,MVAGUSTA,770
111年 4月,MVAGUSTA,769
111年 5月,MVAGUSTA,772
111年 6月,MVAGUSTA,781
111年 7月,MVAGUSTA,785
111年 8月,MVAGUSTA,785
111年 9月,MVAGUSTA,789
111年 10月,MVAGUSTA,791
111年 11月,MVAGUSTA,793
111年 12月,MVAGUSTA,791
112年 1月,MVAGUSTA,791
112年 2月,MVAGUSTA,793
112年 3月,MVAGUSTA,802
112年 4月,MVAGUSTA,799
112年 5月,MVAGUSTA,803
112年 6月,MVAGUSTA,805
112年 7月,MVAGUSTA,806
112年 8月,MVAGUSTA,807
107年 1月,SUZUKI,"8,847"
107年 2月,SUZUKI,"8,884"
107年 3月,SUZUKI,"8,946"
107年 4月,SUZUKI,"9,053"
107年 5月,SUZUKI,"9,182"
107年 6月,SUZUKI,"9,266"
107年 7月,SUZUKI,"9,335"
107年 8月,SUZUKI,"9,422"
107年 9月,SUZUKI,"9,488"
107年 10月,SUZUKI,"9,531"
107年 11月,SUZUKI,"9,581"
107年 12月,SUZUKI,"9,651"
108年 1月,SUZUKI,"9,735"
108年 2月,SUZUKI,"9,773"
108年 3月,SUZUKI,"9,818"
108年 4月,SUZUKI,"9,863"
108年 5月,SUZUKI,"9,916"
108年 6月,SUZUKI,"9,951"
108年 7月,SUZUKI,"10,002"
108年 8月,SUZUKI,"10,032"
108年 9月,SUZUKI,"10,085"
108年 10月,SUZUKI,"10,120"
108年 11月,SUZUKI,"10,203"
108年 12月,SUZUKI,"10,263"
109年 1月,SUZUKI,"10,273"
109年 2月,SUZUKI,"10,301"
109年 3月,SUZUKI,"10,357"
109年 4月,SUZUKI,"10,403"
109年 5月,SUZUKI,"10,450"
109年 6月,SUZUKI,"10,482"
109年 7月,SUZUKI,"10,527"
109年 8月,SUZUKI,"10,570"
109年 9月,SUZUKI,"10,617"
109年 10月,SUZUKI,"10,656"
109年 11月,SUZUKI,"10,689"
109年 12月,SUZUKI,"10,705"
110年 1月,SUZUKI,"10,711"
110年 2月,SUZUKI,"10,715"
110年 3月,SUZUKI,"10,778"
110年 4月,SUZUKI,"10,833"
110年 5月,SUZUKI,"10,880"
110年 6月,SUZUKI,"10,903"
110年 7月,SUZUKI,"10,934"
110年 8月,SUZUKI,"10,961"
110年 9月,SUZUKI,"11,033"
110年 10月,SUZUKI,"11,065"
110年 11月,SUZUKI,"11,106"
110年 12月,SUZUKI,"11,147"
111年 1月,SUZUKI,"11,189"
111年 2月,SUZUKI,"11,207"
111年 3月,SUZUKI,"11,246"
111年 4月,SUZUKI,"11,260"
111年 5月,SUZUKI,"11,293"
111年 6月,SUZUKI,"11,324"
111年 7月,SUZUKI,"11,351"
111年 8月,SUZUKI,"11,348"
111年 9月,SUZUKI,"11,350"
111年 10月,SUZUKI,"11,340"
111年 11月,SUZUKI,"11,348"
111年 12月,SUZUKI,"11,356"
112年 1月,SUZUKI,"11,371"
112年 2月,SUZUKI,"11,376"
112年 3月,SUZUKI,"11,382"
112年 4月,SUZUKI,"11,384"
112年 5月,SUZUKI,"11,383"
112年 6月,SUZUKI,"11,383"
112年 7月,SUZUKI,"11,437"
112年 8月,SUZUKI,"11,480"
107年 1月,TRIUMPH,"2,629"
107年 2月,TRIUMPH,"2,643"
107年 3月,TRIUMPH,"2,674"
107年 4月,TRIUMPH,"2,691"
107年 5月,TRIUMPH,"2,705"
107年 6月,TRIUMPH,"2,723"
107年 7月,TRIUMPH,"2,748"
107年 8月,TRIUMPH,"2,770"
107年 9月,TRIUMPH,"2,803"
107年 10月,TRIUMPH,"2,832"
107年 11月,TRIUMPH,"2,870"
107年 12月,TRIUMPH,"2,913"
108年 1月,TRIUMPH,"2,952"
108年 2月,TRIUMPH,"2,971"
108年 3月,TRIUMPH,"2,998"
108年 4月,TRIUMPH,"3,039"
108年 5月,TRIUMPH,"3,065"
108年 6月,TRIUMPH,"3,084"
108年 7月,TRIUMPH,"3,120"
