統計期,年份,月份,廠牌,數量
109年 1月,109年,1,KTM,1818
109年 2月,109年,2,KTM,1851
109年 3月,109年,3,KTM,1890
109年 4月,109年,4,KTM,1924
109年 5月,109年,5,KTM,1988
109年 6月,109年,6,KTM,2035
109年 7月,109年,7,KTM,2080
109年 8月,109年,8,KTM,2102
109年 9月,109年,9,KTM,2189
109年 10月,109年,10,KTM,2263
109年 11月,109年,11,KTM,2312
109年 12月,109年,12,KTM,2367
110年 1月,110年,1,KTM,2400
110年 2月,110年,2,KTM,2421
110年 3月,110年,3,KTM,2456
110年 4月,110年,4,KTM,2514
110年 5月,110年,5,KTM,2575
110年 6月,110年,6,KTM,2618
110年 7月,110年,7,KTM,2658
110年 8月,110年,8,KTM,2702
110年 9月,110年,9,KTM,2732
110年 10月,110年,10,KTM,2767
110年 11月,110年,11,KTM,2819
110年 12月,110年,12,KTM,2845
111年 1月,111年,1,KTM,2867
111年 2月,111年,2,KTM,2872
111年 3月,111年,3,KTM,2894
111年 4月,111年,4,KTM,2900
111年 5月,111年,5,KTM,2930
111年 6月,111年,6,KTM,3008
111年 7月,111年,7,KTM,3036
111年 8月,111年,8,KTM,3108
111年 9月,111年,9,KTM,3137
111年 10月,111年,10,KTM,3163
111年 11月,111年,11,KTM,3188
111年 12月,111年,12,KTM,3219
112年 1月,112年,1,KTM,3239
112年 2月,112年,2,KTM,3260
112年 3月,112年,3,KTM,3338
112年 4月,112年,4,KTM,3373
112年 5月,112年,5,KTM,3401
112年 6月,112年,6,KTM,3432
112年 7月,112年,7,KTM,3457
112年 8月,112年,8,KTM,3529
107年 1月,107年,1,MVAGUSTA,559
107年 2月,107年,2,MVAGUSTA,563
107年 3月,107年,3,MVAGUSTA,568
107年 4月,107年,4,MVAGUSTA,574
107年 5月,107年,5,MVAGUSTA,579
107年 6月,107年,6,MVAGUSTA,590
107年 7月,107年,7,MVAGUSTA,594
107年 8月,107年,8,MVAGUSTA,601
107年 9月,107年,9,MVAGUSTA,606
107年 10月,107年,10,MVAGUSTA,609
107年 11月,107年,11,MVAGUSTA,608
107年 12月,107年,12,MVAGUSTA,609
108年 1月,108年,1,MVAGUSTA,610
108年 2月,108年,2,MVAGUSTA,618
108年 3月,108年,3,MVAGUSTA,622
108年 4月,108年,4,MVAGUSTA,625
108年 5月,108年,5,MVAGUSTA,632
108年 6月,108年,6,MVAGUSTA,634
108年 7月,108年,7,MVAGUSTA,641
108年 8月,108年,8,MVAGUSTA,642
108年 9月,108年,9,MVAGUSTA,647
108年 10月,108年,10,MVAGUSTA,654
108年 11月,108年,11,MVAGUSTA,656
108年 12月,108年,12,MVAGUSTA,658
109年 1月,109年,1,MVAGUSTA,659
109年 2月,109年,2,MVAGUSTA,662
109年 3月,109年,3,MVAGUSTA,663
109年 4月,109年,4,MVAGUSTA,667
109年 5月,109年,5,MVAGUSTA,672
109年 6月,109年,6,MVAGUSTA,678
109年 7月,109年,7,MVAGUSTA,684
109年 8月,109年,8,MVAGUSTA,684
109年 9月,109年,9,MVAGUSTA,690
109年 10月,109年,10,MVAGUSTA,699
109年 11月,109年,11,MVAGUSTA,717
109年 12月,109年,12,MVAGUSTA,737
110年 1月,110年,1,MVAGUSTA,745
110年 2月,110年,2,MVAGUSTA,747
110年 3月,110年,3,MVAGUSTA,753
110年 4月,110年,4,MVAGUSTA,759
110年 5月,110年,5,MVAGUSTA,758
110年 6月,110年,6,MVAGUSTA,758
110年 7月,110年,7,MVAGUSTA,760
110年 8月,110年,8,MVAGUSTA,761
110年 9月,110年,9,MVAGUSTA,764
110年 10月,110年,10,MVAGUSTA,764
110年 11月,110年,11,MVAGUSTA,765
110年 12月,110年,12,MVAGUSTA,769
111年 1月,111年,1,MVAGUSTA,769
111年 2月,111年,2,MVAGUSTA,770
111年 3月,111年,3,MVAGUSTA,770
111年 4月,111年,4,MVAGUSTA,769
111年 5月,111年,5,MVAGUSTA,772
111年 6月,111年,6,MVAGUSTA,781
111年 7月,111年,7,MVAGUSTA,785
111年 8月,111年,8,MVAGUSTA,785
