統計期,年份,月份,廠牌,數量
111年 7月,111年,7,KTM,35
111年 8月,111年,8,KTM,76
111年 9月,111年,9,KTM,30
111年 10月,111年,10,KTM,25
111年 11月,111年,11,KTM,30
111年 12月,111年,12,KTM,30
112年 1月,112年,1,KTM,22
112年 2月,112年,2,KTM,24
112年 3月,112年,3,KTM,86
112年 4月,112年,4,KTM,41
112年 5月,112年,5,KTM,36
112年 6月,112年,6,KTM,40
112年 7月,112年,7,KTM,29
112年 8月,112年,8,KTM,75
107年 1月,107年,1,MVAGUSTA,12
107年 2月,107年,2,MVAGUSTA,5
107年 3月,107年,3,MVAGUSTA,6
107年 4月,107年,4,MVAGUSTA,9
107年 5月,107年,5,MVAGUSTA,7
107年 6月,107年,6,MVAGUSTA,10
107年 7月,107年,7,MVAGUSTA,3
107年 8月,107年,8,MVAGUSTA,6
107年 9月,107年,9,MVAGUSTA,9
107年 10月,107年,10,MVAGUSTA,3
107年 11月,107年,11,MVAGUSTA,0
107年 12月,107年,12,MVAGUSTA,0
108年 1月,108年,1,MVAGUSTA,4
108年 2月,108年,2,MVAGUSTA,7
108年 3月,108年,3,MVAGUSTA,4
108年 4月,108年,4,MVAGUSTA,7
108年 5月,108年,5,MVAGUSTA,6
108年 6月,108年,6,MVAGUSTA,3
108年 7月,108年,7,MVAGUSTA,8
108年 8月,108年,8,MVAGUSTA,3
108年 9月,108年,9,MVAGUSTA,6
108年 10月,108年,10,MVAGUSTA,5
108年 11月,108年,11,MVAGUSTA,4
108年 12月,108年,12,MVAGUSTA,6
109年 1月,109年,1,MVAGUSTA,3
109年 2月,109年,2,MVAGUSTA,3
109年 3月,109年,3,MVAGUSTA,4
109年 4月,109年,4,MVAGUSTA,7
109年 5月,109年,5,MVAGUSTA,4
109年 6月,109年,6,MVAGUSTA,7
109年 7月,109年,7,MVAGUSTA,10
109年 8月,109年,8,MVAGUSTA,4
109年 9月,109年,9,MVAGUSTA,6
109年 10月,109年,10,MVAGUSTA,10
109年 11月,109年,11,MVAGUSTA,18
109年 12月,109年,12,MVAGUSTA,21
110年 1月,110年,1,MVAGUSTA,11
110年 2月,110年,2,MVAGUSTA,4
110年 3月,110年,3,MVAGUSTA,7
110年 4月,110年,4,MVAGUSTA,5
110年 5月,110年,5,MVAGUSTA,1
110年 6月,110年,6,MVAGUSTA,2
110年 7月,110年,7,MVAGUSTA,5
110年 8月,110年,8,MVAGUSTA,1
110年 9月,110年,9,MVAGUSTA,2
110年 10月,110年,10,MVAGUSTA,1
110年 11月,110年,11,MVAGUSTA,2
110年 12月,110年,12,MVAGUSTA,1
111年 1月,111年,1,MVAGUSTA,2
111年 2月,111年,2,MVAGUSTA,1
111年 3月,111年,3,MVAGUSTA,0
111年 4月,111年,4,MVAGUSTA,0
111年 5月,111年,5,MVAGUSTA,1
111年 6月,111年,6,MVAGUSTA,11
111年 7月,111年,7,MVAGUSTA,6
111年 8月,111年,8,MVAGUSTA,2
111年 9月,111年,9,MVAGUSTA,4
111年 10月,111年,10,MVAGUSTA,2
111年 11月,111年,11,MVAGUSTA,4
111年 12月,111年,12,MVAGUSTA,2
112年 1月,112年,1,MVAGUSTA,2
112年 2月,112年,2,MVAGUSTA,5
112年 3月,112年,3,MVAGUSTA,10
112年 4月,112年,4,MVAGUSTA,1
112年 5月,112年,5,MVAGUSTA,4
112年 6月,112年,6,MVAGUSTA,3
112年 7月,112年,7,MVAGUSTA,2
112年 8月,112年,8,MVAGUSTA,4
107年 1月,107年,1,SUZUKI,91
107年 2月,107年,2,SUZUKI,44
107年 3月,107年,3,SUZUKI,72
107年 4月,107年,4,SUZUKI,114
107年 5月,107年,5,SUZUKI,124
107年 6月,107年,6,SUZUKI,98
107年 7月,107年,7,SUZUKI,67
107年 8月,107年,8,SUZUKI,96
107年 9月,107年,9,SUZUKI,75
107年 10月,107年,10,SUZUKI,56
107年 11月,107年,11,SUZUKI,45
107年 12月,107年,12,SUZUKI,93
